"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","data"
"1965","RT @obrasilonline: Coordenadora da Auditoria Cidadã detona a #PEC55 em Comissão do Senado, assista: https://t.co/HroaDT00BC https://t.co/q1…",FALSE,0,NA,2016-11-09 19:14:55,FALSE,NA,"796430890289209344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PauloMe05494352",12,TRUE,FALSE,NA,NA,2016-11-09
"1966","TENHAM CORAGEM E DECÊNCIA DE LEVAR AS URNAS ESTA  #PEC241 #PEC55",FALSE,0,NA,2016-11-09 19:14:49,FALSE,NA,"796430863621881860",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyBarros_",0,FALSE,FALSE,NA,NA,2016-11-09
"1967","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:14:12,FALSE,NA,"796430706444476416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lentescorderosa",39,TRUE,FALSE,NA,NA,2016-11-09
"1968","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:13:00,FALSE,NA,"796430406807678976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeoSilves",39,TRUE,FALSE,NA,NA,2016-11-09
"1969","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:12:59,FALSE,NA,"796430400449036288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sudornelles",39,TRUE,FALSE,NA,NA,2016-11-09
"1970","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:12:50,FALSE,NA,"796430363727953920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RicardoSommer2",39,TRUE,FALSE,NA,NA,2016-11-09
"1971","A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia 31/11! 
PRESSIONE !",FALSE,24,NA,2016-11-09 19:12:33,FALSE,NA,"796430294697975808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","depPedroruas",39,FALSE,FALSE,NA,NA,2016-11-09
"1972","RT @obrasilonline: Coordenadora da Auditoria Cidadã detona a #PEC55 em Comissão do Senado, assista: https://t.co/HroaDT00BC https://t.co/q1…",FALSE,0,NA,2016-11-09 19:10:03,FALSE,NA,"796429664571031559",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","VieiMichele",12,TRUE,FALSE,NA,NA,2016-11-09
"1973","RT @CUT_Brasil: #PEC55: com uma só canetada todas as garantias adquiridas da classe trabalhadora estarão perdidas. #PECdaMorte
https://t.co…",FALSE,0,NA,2016-11-09 19:09:04,FALSE,NA,"796429416268234756",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","damolas",65,TRUE,FALSE,NA,NA,2016-11-09
"1974","Referendo JÁ!!!! O POVO TEM QUE VOTAR! #PEC241 #PEC55",FALSE,1,NA,2016-11-09 19:09:03,FALSE,NA,"796429410253602821",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyBarros_",1,FALSE,FALSE,NA,NA,2016-11-09
